plate,review_reason_code,customer_meaning,reviewer_comments,status
AKK47,2,"MY INITIALS PLUS MY TWO LUCKY NUMBERS, WHICH HAPPEN TO SOUND LIKE A NICE GUN I LIKE.",LOOKS LIKE AK 47 AS IN GUN,N
AO2M96,,,LOOKS LIKE OLD AUTO,N
BGD W211,2,AIRMATIC AND MERCEDES BENZ MODEL NUMBER,211 AS IN ROBBERY,N
GRWN DED,,,DEAD,N
JESSBOX,1,NICKNAME,BOX,N
KAT KOCH,1,NAME OF A PERSON NAME = KAT (KATHARINA) LAST NAME = KOCH,CAT COACH,N
LARA 8O5,4,,805 AREA CODE,N
LIL515O,4,JUST A LITTLE WILD AND FUN PERSON,5150 CRAZY,Y
MOCHOMO,2,ANT SPECIES,"MEXICAN DRUG LORD ""THE DESSERT ANT""",N
OFFCR HI,5,"GIVING A FRIENDLY GESTURE, NOTHING BAD",HI OFFICER,N
OLD BS,3,THE TRUCK IS THE LAST YEAR OF THE OLD BODY STYLE FORDS.,BS BULL SHIT,N
POOPELL,2,THIS IS A NICKNAME THAT MY LATE GRANDFATHER USED TO CALL ME. IT HAS GREAT PERSONAL MEANING TO ME.,POOP,N
PZA TACO,1,MY TWO FAVORITE THINGS PIZZA AND TACOS,TACO,N
RICH KAT,1,RICH AND KAT,RICH CAT.. EXPENSIVE CAT,N
SHUFTSH,1,SHOE FETISH,SHOE FETISH,Y
THUGLYG,2,,THE UGLY F.. NOT SURE WHAT THE F MEANS,N
WOR HORS,1,,WAR WHORES.. WORK HORSE,N
WSIXVTY,4,,LOOKS LIKE 650 AREA CODE,N
YYMAN 69,1,XXX,MAN 69,N
3KS N 1E,4,,3KS LOOKS LIKE KKK,N
STOGIE,,JUST HAD A CIGAR.,STOGIE IS A CIGAR,Y
AIRS$FT,2,AIRSOFT SPORT WE LOVE,AIRSOFT SHOOTING,N
I$MYAR,2,I LOVE MY ALPHA RAMEO,I LOVE MY AR AR RIFLE,N
HYDR,2,HYDRO,HYDR HYDRAULICS OR HYDROPONICS,N
AHHBLUE,4,BLUE WAS THE NICKNAME GIVEN TO ME BY MY FATHER GROWING UP,BLUE,Y
BENDEJO,7,SPANGLISH SLANG FOR VILLAGE IDIOT,PENDEJO CURESE WORD IN SPANISH,N
BYTE ME2,2,"BYTE ME TWO, MATCHING SPOUSE'S PLATES",BITE ME TOO,Y
COJONIS,7,IT MEANS COURAGE,THIS LOOKS LIKE THE SPANISH WORK COJONES,N
EXCON,2,XCON,EX CON,N
ISISCAR,2,,ISIS CAR,N
TN7,2,NAME OF OUR RANCH 10-7,LOOKS LIKE TNT,N
URDUNN4,2,LAST NAME IS DUN AND WE ARE A FAMILY OF FOUR,YOURE DONE FOR,N
3100 BLK,4,3100 BLOCK,3100 BLOCK,N
BLUSHRK,4,BLUE HARLEY,BLUE,Y
CHRG4PS,1,CHARGE FOR PEACE,LOOKS LIKE CHARGE FOR PS… NOT SURE WHAT PS MEANS,N
HRSHT66,3,NO MICRO,HER SHIT '66,N
M 65O V,7,NO MICRO,CUSTOMERS MOUNTAIN VIEW AREA CODE,N
PDCC42O,7,NO MICRO,420- WEED,N
87O,7,HISTORIC DATE,A TYPE OF REMINGTON GUN,N
AENIMA,3,THE ROCK BAND TOOL'S SECOND ALBUM TITLE  FROM 1996,CUSTOMER MEANING IS TRUE BUT LOOKS AND SOUNDS LIKE ENEMA,N
ALDRG59,3,ALLDREDGE 1959,ALL DRUG (CUSTOMER LAST NAME IS ALLDREDGE),Y
BJS4DDS,1,MY INITIALS AND MY WIFE INITIALS,BLOW JOBS FOR DENTAL WORK… CUSTOMER IS BRIAN J SAMUELS,N
CABIN 5O,5,OUR CABIN NUMBER FOR OUR HOUSE AT HUME  LAKE.,50=police,Y
CAULGUY,1,PERSON IS BORN WITH A CAUL OR A VEIL. FACE IS COVERED BY PART OF WOMB.IT IS CONSIDERED GOOD LUCK OR VERY SPRITUAL.,CUSTOMER MEANING IS TRUE BUT SOUNDS LIKE 'CALL GUY'… CALL GIRL WOULD BE A PROSTITIUTE,N
CHIHOE,1,THIS IS MY LEGAL FIRST NAME,"PULLED FOR HOE, THIS IS HIS REAL FIRST NAME",N
CICARIO,2,5XPP825,SICARIO MEANS HITMAN OR HIRED KILLER IN SPANISH,N
CLD SQD,5,"MY WIFE'S TV SHOW IS ""COLD SQUAD""",COLD SQUAD IS A POLICE TV SHOW,N
DRG DADY,3,I LOVE DRAG RACING EVENTS. AND I AM A DAD.,DRUG DADDY,N
DSCHBAG,2,DSCH IS A BRAND OF BAG OF GERMAN  (DEUTSCHE)  BAGS THAT I LOVE.,DOUCHEBAG,N
EAT CHIA,1,I AM DOING A RESEARCH ON CHIA SEEDS SO I  WANT TO PROMOTE IT,EAT,Y
EVOWEVO,1,MEXICAN EGG,"WEVO=HUEVO, CAN MEAN EGG OR TESTICLE",N
FATAL41,,THE COMPANY I WORK FOR IN THE USMC IS FOX COMPANY AND WE CALL OUR SELFS FATAL FOX,FATAL IS SOMETHING THAT KILLS YOU,N
FATTO 1,2,IT IS THE NAME OF A GIRL IN A PUNJABI SONG   THAT  IS DESCRIBED AS SASSY.,IT IS A SONG. COULD BE INSULTING IN ENGLISH,N
FATTO 2,2,FATTO IS THE NAME OF A SASSY GIRL IN A   PUNJABI  SONG,IT IS A SONG. COULD BE INSULTING IN ENGLISH,N
FED S 69,1,"ABBREVIATION OF OUR NAME, FEDER.",no 69 car on ani,N
FNVADER,3,"""FUN VADER"" THIS IS MY TOY TRUCK, AND IT'S ALL BLACK AND LOOKS LIKE DARTH VADER",EFFIN VADER,N
FRD EETR,1,I DON'T LIKE FORD TRUCKS,EAT,N
GD 818,2,G-DRAGON'S INITIALS WITH HIS BIRTHDAY. HE IS A KOREAN SINGER AND HE IS MY IDOL,818=LOS ANGELES AREA CODE,N
GOBALLA,2,MY LAST NAME IS BALLA,"GO BALLER, CUSTOMER LAST NAME IS BALLA",N
GO G MEN,5,"GO GIANTS, G-MEN IS A NICKNAME FOR THE SAN FRANCISCO  GIANTS","G-MAN SHORT FOR GOVERNMENT MAN, MEANS AN FBI OR CIA AGENT",Y
GSGOMG,2,KIDS INITIALS,GSG=GUNSLINGER GIRL (ANIME) PER ACRONYM FINDER.,Y
GUN ACE,2,MY CHILDREN'S NAMES: GUNTHER AND ACE,gun,N
GURUJP,2,GURUJEEP IS MY JEEP'S NAME.,"JAP? NO JEEP ON ANI, HAS HONDA",N
HALF333,2,BABY EVIL,333 IS HALF OF 666,Y
HALF666,2,BABY DEMON,PULLED FOR REVIEW OF 666 (SAME CUSTOMER AS HALF333),Y
HELGRRR,3,THE NAME OF THE CAR,"pulled for Hell, no Hellcat. Has a VW",Y
LIT FAM,3,"SLOGAN, MEANING ITS COOL, FRIENDS",LIT CAN MEAN HIGH OR VERY INTOXICATED,N
LMTHANG,1,LITTLE MOTOR THING,"LMT=LICK MY TAINT, LICK MY TWAT.(or Thing) URBAN DICTIONARY (52 UP, 18 UP) Ani shows a BMW UT and a Subaru SW",N
LOW WIRE,3,I WORK AS A HI VOLTAGE LINEMAN AND MY CAR IS LOWERED ITS A PLAY ON WORDS,wire=amphetamines,N
LUV CBDS,3,"I LOVE CLEO,BEATRIZ,DANNETTE AND STEPHANIE","CBD=CANNABIDIOL, A COMPOUND OF MARIJUANA LIKE THC.",N
MACHN 22,2,MEAN MACHINE FROM THE MOVIE THE LONGEST YARD,COULD MEAN A .22 MACHINE GUN,N
MACTEP,1,NICKNAME,"MACTEP=RUSSIAN WORD FOR MASTER, DEFINITION ON URBAN DICTIONARY SOUNDS LIKE S&M TYPE MASTER",N
MGADETH,2,MY FAVORITE MUSICAL ARTIST,"pulled for death but almost didn’t, it is a band",N
M KILER,2,MY MERCEDES AMG IS BETTER THAN BMW M  VARIANTS.,KILLER,N
MRDA RAM,2,BLACK COLORED DODGE RAM,murder ram,N
MWAVEEY,3,NICKNAME,"URBAN DICTIONARY SAYS 'WAVEY' MEANS VERY DRUNK OR HIGH, OPPOSITE OF SOBER. 456 UP 194 DOWN",N
NAVY FED,5,"""NO MEANING ATTACHED""","FED=A FEDERAL AGENT OR OFFICAL, ESPECIALLY A MEMBER OF THE FBI. OR THE POLICE.",N
NIJJAR1,2,ITS A SUR NAME,LOOKS LIKE 'N' WORD… IT IS A SURNAME BUT NOT THIS CUSTOMERS NAME ON 272. NIJJAR IS UNACCEPTABLE AND HER FIRST NAME IS NIJJARA.,N
OINK B8,5,I OWN A CORN FARM IN CALOUSA CA AND SELL  ORGANIC PIG FEED,"oink=pig=cop bait, might mean a fast car being bait for police",N
O16BCAT,1,2016 BLACK CAT,"PULLED FOR CAT, NO CAT CAR ON ANI. HAS A 2016 BMW",N
PAKOMER,1,SOURCE OF FOOD (SPANISH WORDS),comer=eat,N
PAYBVCK,2,PAYBACK,PAYBACK=AN ACT OF REVENGE OR RETALLIATION,N
ROTH415,2,LAST NAME AND AREA CODE,415=SAN FRANCISCO AREA CODE,N
SHIV OO7,2,"SHIV IS NAME OF OUR SON, AND 007 IS REFERED TO JAMES BOND.",shiv is a knife or something possibly homemade that you shank someone with,N
SHTBABE,3,SHORTENED VERSION OF OWNER'S NICKNAME  (SHOOTBABE),"CUSTOMER LAST NAME IS SHOOTER, COULD BE READ AS ""SHIT, BABE"" OR SHOT BABE",N
SKRAPS,2,THIS IS MY MAIDEN NAME SPELLED BACKWARDS,"A Norteño derogatorily refers to a Sureño as a ""scrap"" (Hispanicized scrapa) or ""Sur rat"" Customer last name is Sparks and SCRAPS is currently registered",N
SNL SKWD,1,THIS WAS THE NAME OF MY DADS RUNNING GROUP. HE PASSED AWAY RUNNING A MARATHON AND WANT THIS IN MEMORY OF HIM.,SCREWED,Y
SSHNTRR,2,MY CARS NICKNAME. SSHNTRR,"THREATENING, SS HUNTER",N
YLA GANJ,3,HERRY UP BRO,"YELLOW GANJA, DRUGS…",N
YOU FOOL,2,YOU FOOL,CONFRONTATIONAL,N
ZZZ1969,1,YEAR OF CAR,no 69 car on ani,N
1ARDNUT,1,1 TUNRDA (BACKWARDS),one hard nut. Does have a toyota truck on ani,N
2OO6GTH,2,INTEND TO PLACE THIS PLATE ON A 2006   MUSTANG GTH,"GTH=GO TO HELL, NO 2006 CAR ON ANI",N
2OO7GTH,2,I AM GOING TO PUT IT ON A 2007 MUSTANG GTH,"GTH=GO TO HELL, NO 2007 CAR ON ANI",N
8TNGBBY,1,"IT'S A ROUGH TRANSLATION OF THE U2 ALBUM, ACHTUNG BABY, EXCEPT THAT THE ACHT IS THE  GERMAN NUMBER 8, WHICH IS ACHT IN GERMAN.",ate?,Y
818DIPN,2,CLASSIC CAR,"818 AREA CODE, LOS ANGELES",N
TROL&DF,5,NICKNAME,"TROL is southern slang for police (patrol) DF=Mexico City (from Distrito Federal, the capital of Mexico)",N
SPYMAN,5,SPY MAN,SPY=CIA=FEDERAL AGENT,Y
BALDRYZ,1,NAME,BALLS.. DRY BALLS… LAST NAME IS BALDRY,Y
B52RBS,2,USAF BOMBER AIRCRAFT RADAR BOMB SCORED,vet plate but pulled for b52 bomber and RBS does mean radar bomb scored,Y
BASAHLQ,1,BASS FISHING,basah=Indonisian and Malay word for 'wet',N
BLWNBRA,1,NICK NAME OF THE CAR,"BLOWN, BRO",N
CARLEY8,1,NONE,"ATE, CUSTOMER NAME ISNT CARLEY",Y
CZYSLVI,2,CRAZY SALVADOREAN,CRAZY,Y
GASSLUT,1,BECAUSE I HAVE TO REFILL MY GAS TANK EVERY 2 DAYS DRIVING A TRUCK,gas slut,N
NADACOP,5,THIS PLATE IS GOING ON AN EX POLICE CROWN   VICTORIA. THOUGHT THIS WOULD BE A FUNNY   PLATE.,NOT A COP… NOTACOP IS ALREADY UNACCEPTABLE,N
NTNBTWT,1,CAR COLOR,nothing but white? Twt could be twat,N
OINKER,5,OINKER - HAS BEEN MY ONLINE NAME SINCE I WAS 22 (26 YRS). HTTP://STEAMCOMMUNITY.COM/ID/OINKER/,"OINKER=PIG=POLICE, OINKERS&OINKERZ are unacceptable but ther are a couple current records with numbers before or after",N
TRDPRO T,3,TRUCK MODEL,TRD looks like turd. Has Toyota truck,N
TRIGGA,2,MY NICK N AME OF TRIGONOMETRY,TRIGGER AS IN GUN,N
UGASHKA,1,OOGA SHAKA,you gash or ooga chaka,Y
WELL666,3,NONE,the devil 666,Y
WHTWSHD,2,NICKNAME,Per Urban Dictionary: When a person who isn't white forgets their culture and acts like a white person.,N
SPYGIRL,5,SPY GIRL,"SPY=CIA=FEDERAL AGENT. ORDERED BY SAME CUSTOMER AS 'SPYMAN'. There is a mix of unacceptable, expired and current 'spy' plates on record…",Y
DIE HURE,3,NO MICRO,DIE WHORE IN GERMAN,N
TTYCITY,7,NO MICRO,TITTY CITY,N
NSTY G,1,NO MICRO,NASTY G,N
RAES CAT,1,NO MICRO,CUSTOMER IS RACHEL. RACHELS CAT,N
DIUPSCM,7,DIE YUPPIE SCUM,DIE UP SCUM,N
RSTONED,7,"IM A NUMBER 1 FAN OF THE ROLLING STONES BAND, OLD SCHOOL CAR NEEDS AN OLD SCHOOL LICENSE PLATE.",STONED-WEED. ROLLING STONES.,N
STBN WGN,7,IT IS A REFERENCE TO A MOVIE,STABBIN WAGON,N
TACO422,7,SHORT FOR TACOMA AND LUCKY NUMBER,CUSTOMER HAS A TOYOTA TACOMA,N
WHTCRKN,7,MY MOBILE APP,WHITE CRACKIN… RACIAL?,N
415GABE,7,IT’S THE DATE I MET MY WIFE,CA AREA CODE,N
69VW BUS,1,NO MICRO,NO '69 VEHICLE CONFIRMED,N
69VW RAG,1,NO MICRO,NO '69 VEHICLE CONFIRMED,N
DOMINUS,2,NO MICRO,LATIN WORD FOR MASTER OR OWNER,N
57 STUD,1,NO MICRO,STUD IS MARKED UNACCEPTABLE?,N
69 SASHA,1,NO MICRO,NO 69 CAR,N
GUN SMKE,7,NO MICRO,GUN?,N
KILRRDS,2,NO MICRO,KILL?,N
4GUNN2,7,NO MICRO,GUN?,N
BALZINI,1,MY MAGICIAN NAME WHEN I USE TO PERFORM AS A TEENAGER,BALLS IN 1?,N
BLQ BTY,7,BLACK BEAUTY,BLACK BETTY CAN BE SLANG FOR HERION.,N
GGG 69,1,INICIAL OF MY KIDS NAME,NO 69 CAR,N
KBOMB5K,7,NICKNAME,BOMB?,N
LZYJ8O5,8,LAZY JASON AND MY AREA CODE,805 PASO ROBLES AREA CODE,N
SHHOOTS,7,BYE IN PIGEON/HAWAIIAN,"SHOOT? ""SHOOT: IS CURRENT",N
T11111T,1,LUCKY NUMBERS,"DOES IT LOOK LIKE ""TIT""?",N
805QWLT,7,805 AREA CODE QUILT,805 SAN LUIS OPISBO AREA CODE,N
8RYNT 24,7,BRYANT #24,"8 AND 24 IS KOBE'S JERSEY NUMBERS AND HE HIS RETIRING……BUT THIS IS OUT THERE WITH ""BRYNT 24"" SO PULL FOR SUBSTUTING?",N
P3RCNT,7,PERCENT. REPRESENTS PATRIOTS AND VETERAN/MILITARY FAMILY.,"""PERCNT"" IS NOT OUT THERE SO PUL FOR SUB OR NOT? I TOOK ITAS 3 PERCENT SAYING.",N
BALLR22,1,MY BASKETBALL NUMBER,BALLER?,N
BLK INDN,2,BLACK INDIAN,RACIAL?,Y
BOMYUSA,7,NONE,BOMB?,N
KILLA,7,KILLING ANY COMPETITION,KILL?,N
SHOVU,2,MY SON'S SHORT NAME,SHOVE YOU?,N
SUP BRA,1,"""SUP BRA"" IS SURFER LINGO FOR ""WHAT IS HAPPENING MAN?/HOWS IT GOING?""",BRA? WHAT HE SAYS IS TRUE,Y
5TENJDM,7,NO MICRO,510-BAY AREA CODE,N
666EVIL,7,NO MICRO,666?,Y
BRAAAP7,2,THE SOUND MY DIRTBIKE MAKES AND FAVORITE NUMBER.,BRAP IS MARKED UNACCEPTABLE? URBAN SAYS IT IS THE SOUND OF A GUNSHOT,N
KYZ HOE,1,BLACK CHEVY TAHOE AND MY NAME,HOE-WHORE. NO TAHOE ON RECORD,N
LNG GUNR,2,no micro,GUNNER?,N
MINIPIG,5,NO MICRO,PIG-?,N
SMOKMUP,D,NO MICRO,BURN RUBBER OR LIGHT UP A JOINT,N
NCK SNPR,2,"THE CAR HAS A LOT OF HORSE POWER AND IS A ""NECK SNAPPER"" WHEN YOU FLOOR THE GAS PEDAL.",NECK SNAPPER,N
MS 7O7,7,707 IS A LUCKY UMBER SCHEME TO ME AND HAS BEEN FOR 7 YEARS NOW.,707 NAPPA AREA CODE,N
TRDTUNR,2,TRD TUNER BUT SHORTENED.,TRD-WE USUALLY PULL FOR RETARD OR TURD. NO TOYOTA ON RECORD.,N
WHIP EM,2,NICKNAME,WHIP LIKE SPANK?,N
5MAGNUM,1,THE CAR IS A 2005 DODGE MAGNUM,MAGNUM CAN BE A CONDOM OR  A GUN? Has 2 CHEVYS ON RECORD,N
8MB 777,1,"THE FIRST LETTER OF MY WIFES NAME IS ""M"", AND MINE IS ""B"" AND OUR LUCKY NUMBER IS ""7"".","I THINK HE IS TRYING TO DO A OLD AUTO PLATE 8 AS A ""B"". HIS INTIALS ARE ""LG""",N
BLUE LUV,2,DODGER BLUE I LOVE,BLUE,Y
DOPE SHT,3,COOL STUFF,DOPE SHIT,N
DOPE 5OH,D,DOPE MEANS SICK IN A DIFFERENT TERM AND THE 5 OH REPRESENTS THE MODEL OF MY MUSTANG SINCE ITS A 5.0L ENGINE,DOPE COULD MEAN NICE OR COULD MEAN DRUGS,N
GO BLUE 7,2,UNIVERISTY OF MICHIGAN COLORS MY SPIRIT AND PRIDE,BLUE,Y
HO 888,1,,HO AS IN WHORE,N
H77 GATO,1,MY SPANISH CAT,GATO MEANS CAT,N
KIKROX8,2,KICK ROCKS 8,KICK ROCKS,N
KLM,2,,LOOKS LIKE KILLEM,N
RSTNPCE,2,"I'M A HUGE FAN OF THE RED HOT CHILI PEPPERS. PLATE IS MEANT TO BE READ AS ""CALIFORNIA REST IN PEACE"" IN REFERENCE TO THEIR SONG ""DANI CALIFORNIA"".",REST IN PEACE,N
TATA 48,1,,TATA AS IN BREAST,N
VR38 510,2,THIS IS AN NISSAN ENGINE SIZE DESIGNATION.,510 AREA CODE,Y
XB CRAZY,2,CRAZY ABOUT TOYOTA SCION XB,CRAZY,Y
2ND2GUN,2,SECOND TO GREAT UTILITY NATION,GUN,N
3DRTY5 M,1,335 M PERFORMANCE,DIRTY,N
415RMDL,2,MY BUSINESS,415 AREA CODE,N
42OEDDI,D,IF HAS NO MEANING I JUS WANT TO GET IT BECAUSE I LIKE IT THATS IT,420 NATIONAL SMOKE DAY 4-20 MARIJUANA,N
5150SRT,2,,5150 CRAZY,Y
O7 KITY,2,2007 JAGUAR XK KITY LIKE A CAT,KITTY,N
415VICT,2,415 IS A CAL PENAL CODE SECTION VICT IS MAKE OF MOTORCYCLE (VICTORY),415 AREA CODE,N
TRU BLEU,2,"FAVORITE COLOR IS BLUE, LOVE THE OCEAN THAT'S BLUE, THE CAR IT WILL BE ATTACHED TO IS BLUE. LOVE THE COLOR BLUE",TRU BLUE,Y
APX PD8R,2,LIKES CORNERS,apex predator,N
BALZOU7,1,M M NAME KUT,balls out,N
BENT1,D,I OWN A COMAPNY NAMED BENT MOTORSPORTS,BENT CAN MEAN INTOXICATED,N
BLAYZ,D,CAR NAME (FIRE),"BLAZE=MARIJUANA, NO CHEVY BLAZER ON ANI",N
BLCK BST,2,BLACK BEAST FOR BLACK DODGE CHALLENGER,HAS A 2013 DODGE CP ON ANI,Y
BLKRCK1,D,MY COMPANY IS BLACKROCK CREATIVE  MANAGEMENT COMPANY,black rock can mean crack according to Erowid Drug Slang and Termonology website. BLCKRCK & BLKRCK are currently registered,Y
BRAZZRS,1,PIECE OF ARMOR PROTECTING THE ARM,"IRISH SLANG WORD FOR A PROSTITUTE, NAME OF A PORN WEBSITE",N
BRNG IT,2,BRING IT,"A CHALLENGE, CONFRONTATIONAL?",N
